PART NUMBER,Nomenclauture,Qty,PAF Lead Time (Weeks),Unit Price,Extended Price
4040T63P02,BEARING FRONT,15,65,"$ 1,936.49","$ 29,047.30"
4042T36P02,COUPLING V BAND,15,53,"$ 1,849.03","$ 27,735.39"
4052T82G01,TUBE OIL RH,2,66,"$ 1,809.49","$ 3,618.98"
4068T53G01,SCREEN,3,43,"$ 1,785.45","$ 5,356.36"
4051T70G01,GASKET,4,40,"$ 1,467.15","$ 5,868.60"
5035T73G03,BRACKET TORQUE SNSR,4,45,"$ 1,414.61","$ 5,658.46"
416-1275,CABLE ASSY,1,64,$ 944.38,$ 944.38
4052T94G03,BRACKET,5,45,$ 847.16,"$ 4,235.78"
4045T61G01,SCREEN AGB,5,39,$ 829.65,"$ 4,148.25"
4052T74G01,BRACKET,15,44,$ 828.41,"$ 12,426.18"
6058T52G01,BRACKET,2,49,$ 790.22,"$ 1,580.44"
4088T59P01,SEAL VALVE,2,52,$ 764.85,"$ 1,529.71"
4052T71G01,BRACKET,1,45,$ 652.48,$ 652.48
3036T89P01,NUT SHANK,10,49,$ 642.66,"$ 6,426.58"
4053T04P01,SEAL ANTI ICING,10,53,$ 598.41,"$ 5,984.12"
4082T89G01,TUBE AXISG,5,79,$ 596.96,"$ 2,984.82"
4041T56G02,SLEEVE,2,35,$ 578.50,"$ 1,157.00"
4052T86G02,BRACKET TUBE AI-VALV,2,45,$ 570.92,"$ 1,141.83"
5051T21G03,SUPT CLIP SWRL FRA,10,59,$ 557.86,"$ 5,578.63"
4051T56G01,BRACKET TUBE AI-VALV,2,45,$ 517.88,"$ 1,035.76"
4051T00G05,SUPT CABLE,1,44,$ 506.34,$ 506.34
37B201094P102,ISOLATOR,5,39,$ 503.21,"$ 2,516.07"
4041T29P07,STUD,1,54,$ 488.36,$ 488.36
4082T50P02,FTG AXIS G,6,47,$ 469.29,"$ 2,815.71"
4088T13P01,HSG SEAL,2,38,$ 467.38,$ 934.75
4068T85G02,BRACKET CABLE,2,45,$ 457.95,$ 915.91
4082T14G01,BRACKET,2,34,$ 454.34,$ 908.68
4041T29P05,STUD,5,78,$ 441.67,"$ 2,208.35"
4091T54G01,BRACKET E3 CONNECT,2,45,$ 420.81,$ 841.62
5043T28G01,BRACKET LOWER,2,49,$ 389.91,$ 779.82
4046T89G03,SUPT CABLE,10,59,$ 386.78,"$ 3,867.78"
4052T72G02,BRACKET,2,45,$ 355.21,$ 710.41
4052T72G01,BRACKET,2,45,$ 353.30,$ 706.59
4053T36G02,SUPT CABLE,2,61,$ 330.24,$ 660.47
4068T00G01,BRACKET TUBE,2,59,$ 312.08,$ 624.15
4053T66G01,BRACKET,2,44,$ 307.42,$ 614.83
4045T25G03,BRACKET MANIFOLD,2,45,$ 297.13,$ 594.27
4052T73G01,BRACKET,5,34,$ 249.26,"$ 1,246.30"
4045T07P01,BRACKET UPPER CLAMP,2,49,$ 233.53,$ 467.05
MS51830CA204L,INSERT,10,60,$ 200.27,"$ 2,002.67"
4068T04G01,BRACKET,2,45,$ 192.44,$ 384.89
4082T51G01,BRKT CSUMP,2,59,$ 192.05,$ 384.10
MS51831CA203L,INSERT,10,34,$ 177.45,"$ 1,774.48"
3036T31P01,RETAINER,1,67,$ 176.52,$ 176.52
MS51830CA202,BUSHING,5,98,$ 150.76,$ 753.82
4052T59G02,BRACKET LEAD IGN,2,44,$ 132.65,$ 265.30
MS51833A201-12,STUD,210,48,$ 130.45,"$ 27,394.65"
3032T44P02,BOLT MACHINE,30,58,$ 124.14,"$ 3,724.19"
4076T14P01,NUT,40,39,$ 120.30,"$ 4,812.20"
3036T30P01,RETAINER SCAVENGE,1,38,$ 112.50,$ 112.50
3031T90P01,PIN,2,56,$ 111.66,$ 223.31
MS51830CA201L,INSERT,15,34,$ 105.62,"$ 1,584.29"
MS9404-05,PLUG OIL FRA,1,43,$ 86.46,$ 86.46
3036T34P01,BOLT 12 PT,60,65,$ 83.38,"$ 5,003.08"
J228P041,"PACKING,PREFORMED",50,37,$ 77.98,"$ 3,899.25"
3032T28P02,FERRULE,2,44,$ 68.49,$ 136.99
MS51833A201-8,STUD,29,48,$ 63.02,"$ 1,827.70"
3032T53P01,BOLT,5,56,$ 58.05,$ 290.27
3036T35P01,BOLT 12 PT,5,76,$ 54.51,$ 272.56
4046T32P04,NUT LOCK,60,83,$ 53.84,"$ 3,230.36"
J712P026A,BOLT HEX,10,56,$ 50.92,$ 509.18
J643P14A,BOLT 12 PT,6,56,$ 49.68,$ 298.08
4042T93P01,NUT,30,61,$ 46.03,"$ 1,381.03"
AN737TW30,CLAMP,7,47,$ 40.33,$ 282.28
J228P011,PACKING PREFORMED,30,34,$ 38.04,"$ 1,141.14"
R1181P002,NUT SLFLKG,100,77,$ 31.78,"$ 3,177.87"
J228P904,PACKING PREFORMED,60,34,$ 30.66,"$ 1,839.65"
J221P150,PACKING,40,34,$ 30.57,"$ 1,223.00"
J643P20A,BOLT MACHINE,25,56,$ 28.82,$ 720.52
3036T04P01,SEAL PLAIN,12,34,$ 28.58,$ 342.96
J712P019A,BOLT HEX,10,68,$ 26.96,$ 269.64
R1473P006,SCREW,45,58,$ 24.30,"$ 1,093.42"
J228P014,PACKING PREFORMED,10,34,$ 22.80,$ 228.02
J643P06A,BOLT MACHINE,139,56,$ 22.27,"$ 3,095.41"
J643P12A,BOLT 12 PT,200,56,$ 22.17,"$ 4,433.19"
J643P04A,BOLT 12 PT,31,69,$ 22.11,$ 685.55
R1473P005,SCREW,30,57,$ 19.71,$ 591.21
J221P140,SEAL O RING,30,73,$ 19.26,$ 577.79
J643P10A,BOLT 12 PT,300,56,$ 18.86,"$ 5,659.28"
J643P08A,BOLT 12 PT,10,71,$ 18.83,$ 188.30
R1471P003,SCREW OIL,10,57,$ 18.62,$ 186.24
37B201071P102,FERRULE,153,45,$ 15.46,"$ 2,365.29"
J221P030,PACKING PREFORMED,30,34,$ 13.50,$ 404.97
J221P904,PACKING PREFORMED,60,59,$ 12.47,$ 748.04
J221P912,PACKING PREFORMED,60,34,$ 12.28,$ 736.69
J221P906,PACKING PREFORMED,90,34,$ 8.77,$ 789.31
J643P11A,BOLT-TMF DBL HEX HD,154,69,$ 7.51,"$ 1,157.27"
J221P908,PACKING PREFORMED,60,34,$ 7.38,$ 442.63
J221P021,"PACKING,PREFORMED",30,34,$ 4.39,$ 131.55
AN960C416L,WASHER,60,41,$ 0.72,$ 43.33
AN960C10L,WASHER,150,41,$ 0.33,$ 49.01
